,name,age,date,mv
672,laszlo-benes,14,11,450000
673,mamadou-doucoure,18,16,450000
674,mamadou-doucoure,17,15,450000
675,mamadou-doucoure,16,14,450000
676,mamadou-doucoure,15,13,450000
677,mamadou-doucoure,13,11,450000
678,marcus-thuram,22,19,8100000
679,marcus-thuram,20,17,540000
680,marcus-thuram,18,15,540000
681,marcus-thuram,16,13,540000
682,marcus-thuram,15,12,540000
683,matthias-ginter,23,17,13500000
684,matthias-ginter,20,14,10800000
685,matthias-ginter,18,12,180000
686,matthias-ginter,16,10,180000
687,matthias-ginter,15,9,180000
688,matthias-ginter,11,5,180000
689,max-grun,32,19,135000
690,max-grun,31,18,225000
691,max-grun,31,18,225000
692,max-grun,26,13,900000
693,max-grun,22,9,45000
694,max-grun,19,6,45000
695,max-grun,17,4,45000
696,max-grun,15,2,45000
697,nico-elvedi,19,15,3600000
698,nico-elvedi,18,14,3600000
699,nico-elvedi,17,13,3600000
700,nico-elvedi,16,12,3600000
701,oscar-wendt,26,11,2700000
702,oscar-wendt,21,6,608000
703,oscar-wendt,20,5,2700000
704,patrick-herrmann,19,10,2700000
705,patrick-herrmann,17,8,2700000
706,patrick-herrmann,15,6,2700000
707,patrick-herrmann,13,4,2700000
708,raffael,35,20,1080000
709,raffael,28,13,6750000
710,raffael,28,13,6750000
711,raffael,28,13,8100000
712,raffael,27,12,8100000
713,raffael,23,8,3600000
714,raffael,21,6,1980000
715,raffael,21,6,1980000
716,raffael,20,5,1980000
717,raffael,18,3,1980000
718,raffael,16,1,1980000
719,ramy-bensebaini,24,19,7200000
720,ramy-bensebaini,21,16,1800000
721,ramy-bensebaini,21,16,1800000
722,ramy-bensebaini,20,15,900000
723,ramy-bensebaini,20,15,900000
724,ramy-bensebaini,19,14,900000
725,ramy-bensebaini,18,13,900000
726,ramy-bensebaini,18,12,900000
727,stefan-lainer,27,19,11250000
728,stefan-lainer,23,15,585000
729,stefan-lainer,22,14,225000
730,stefan-lainer,20,12,135000
731,stefan-lainer,20,12,135000
732,stefan-lainer,19,11,135000
733,stefan-lainer,18,10,135000
734,stefan-lainer,16,8,135000
735,stefan-lainer,15,7,135000
736,stefan-lainer,14,6,135000
737,tobias-sippel,27,15,900000
738,tobias-sippel,18,6,135000
739,tobias-sippel,17,5,135000
740,tobias-sippel,16,4,135000
741,tobias-sippel,15,3,135000
742,tobias-sippel,10,98,135000
743,tobias-strobl,30,20,3150000
744,tobias-strobl,26,16,1800000
745,tobias-strobl,23,13,675000
746,tobias-strobl,23,13,675000
747,tobias-strobl,22,12,225000
748,tobias-strobl,21,11,113000
749,tobias-strobl,19,9,113000
750,tobias-strobl,17,7,113000
751,tobias-strobl,15,5,113000
752,tobias-strobl,10,0,113000
753,tony-jantschke,19,9,450000
754,tony-jantschke,17,7,450000
755,tony-jantschke,16,6,450000
756,tony-jantschke,15,5,450000
757,tony-jantschke,11,1,450000
758,torben-musel,19,18,180000
759,torben-musel,18,17,180000
760,torben-musel,17,16,180000
761,torben-musel,16,15,180000
762,torben-musel,7,6,180000
763,yann-sommer,25,14,7200000
764,yann-sommer,21,10,1350000
765,yann-sommer,20,9,630000
766,yann-sommer,20,9,450000
767,yann-sommer,18,7,90000
768,yann-sommer,17,6,90000
769,yann-sommer,16,5,90000
770,yann-sommer,14,3,90000
771,alphonso-davies,19,19,9000000
772,alphonso-davies,16,16,9000000
773,alphonso-davies,16,16,9000000
774,alvaro-odriozola,24,20,14400000
775,alvaro-odriozola,24,20,18000000
776,alvaro-odriozola,22,18,22500000
777,alvaro-odriozola,21,17,270000
778,alvaro-odriozola,18,14,22500000
779,benjamin-pavard,23,19,27000000
780,benjamin-pavard,20,16,720000
781,benjamin-pavard,19,15,720000
782,benjamin-pavard,18,14,720000
783,christian-fruchtl,21,21,630000
784,christian-fruchtl,20,20,630000
785,christian-fruchtl,17,17,630000
786,christian-fruchtl,17,17,630000
787,christian-fruchtl,16,16,630000
788,christian-fruchtl,15,15,630000
789,christian-fruchtl,14,14,630000
790,corentin-tolisso,23,17,19800000
791,corentin-tolisso,20,14,19800000
792,corentin-tolisso,18,12,19800000
793,david-alaba,19,11,4500000
794,david-alaba,19,11,1800000
795,david-alaba,18,10,900000
796,david-alaba,17,9,180000
797,david-alaba,16,8,180000
798,david-alaba,16,8,180000
