name,age,date,mv
kwasi-okyere-wriedt,14,8,68000
oliver-batista-meier,20,21,1350000
oliver-batista-meier,19,20,1350000
oliver-batista-meier,18,19,1350000
oliver-batista-meier,16,17,1350000
oliver-batista-meier,15,16,1350000
philippe-coutinho,28,20,50400000
philippe-coutinho,27,19,81000000
philippe-coutinho,26,18,81000000
philippe-coutinho,21,13,8100000
philippe-coutinho,20,12,6750000
philippe-coutinho,18,10,2250000
philippe-coutinho,16,8,2250000
robert-lewandowski,26,14,45000000
robert-lewandowski,22,10,4050000
robert-lewandowski,20,8,450000
robert-lewandowski,18,6,450000
robert-lewandowski,17,5,450000
sarpreet-singh,22,21,1350000
sarpreet-singh,21,20,1350000
sarpreet-singh,20,19,675000
sarpreet-singh,18,17,180000
sarpreet-singh,16,15,675000
serge-gnabry,23,18,18000000
serge-gnabry,22,17,13500000
serge-gnabry,21,16,2700000
serge-gnabry,20,15,3150000
serge-gnabry,18,13,3150000
serge-gnabry,16,11,3150000
serge-gnabry,15,10,3150000
serge-gnabry,10,5,3150000
serge-gnabry,8,3,3150000
sven-ulreich,32,20,2700000
sven-ulreich,27,15,3150000
sven-ulreich,20,8,90000
sven-ulreich,19,7,45000
sven-ulreich,17,5,45000
sven-ulreich,15,3,45000
sven-ulreich,10,98,45000
sven-ulreich,6,94,45000
thiago,29,20,43200000
thiago,22,13,19800000
thiago,22,19,675000
thiago,22,15,675000
thiago,22,14,675000
thiago,20,11,4500000
thiago,17,8,90000
thiago,16,7,675000
thiago,15,6,675000
thiago,23,20,675000
thiago,23,16,675000
thiago,23,15,675000
thiago,21,18,675000
thiago,21,14,675000
thiago,25,18,630000
thiago,24,17,315000
thiago,18,11,675000
thomas-muller,20,9,675000
thomas-muller,19,8,675000
thomas-muller,17,6,675000
thomas-muller,15,4,675000
thomas-muller,11,0,675000
adam-bodzek,26,11,720000
adam-bodzek,20,5,720000
adam-bodzek,18,3,720000
alfredo-morales,28,18,900000
alfredo-morales,23,13,450000
alfredo-morales,21,11,135000
alfredo-morales,19,9,45000
alfredo-morales,17,7,135000
andre-hoffmann,24,17,600000
andre-hoffmann,20,13,720000
andre-hoffmann,17,10,720000
andre-hoffmann,16,9,720000
andre-hoffmann,15,8,720000
aymen-barkok,22,20,1170000
aymen-barkok,20,18,1800000
aymen-barkok,18,16,90000
aymen-barkok,17,15,90000
aymen-barkok,15,13,90000
aymen-barkok,13,11,90000
aymen-barkok,11,9,90000
bernard-tekpetey,25,22,1440000
bernard-tekpetey,23,20,1440000
bernard-tekpetey,22,19,2250000
bernard-tekpetey,21,18,360000
bernard-tekpetey,21,17,270000
bernard-tekpetey,20,17,270000
bernard-tekpetey,19,16,90000
dawid-kownacki,23,20,6750000
dawid-kownacki,23,19,6750000
dawid-kownacki,22,19,5850000
dawid-kownacki,20,17,3150000
dawid-kownacki,16,13,90000
dawid-kownacki,15,12,3150000
diego-contento,30,20,428000
diego-contento,28,18,1350000
diego-contento,24,14,1800000
diego-contento,20,10,180000
diego-contento,19,9,180000
diego-contento,17,7,180000
diego-contento,15,5,180000
erik-thommy,26,20,4050000
erik-thommy,25,19,2700000
erik-thommy,24,18,675000
erik-thommy,23,17,585000
